N,iters,frac,mode,metric,time_ms,bandwidth_GBps
1024,1,0.2,gh_hbm_shared_no_prefetch,GPU Kernel avg,0.008,
1024,1,0.2,gh_hbm_shared_no_prefetch,CPU compute,0.333,
1024,1,0.2,gh_hbm_shared_no_prefetch,GPU Kernel total,0.008,
1024,1,0.2,gh_hbm_shared_no_prefetch,CPU compute total,0.333,
1024,1,0.2,gh_hbm_shared_no_prefetch,Compute E2E (avg per-iter),0.371,
1024,1,0.2,gh_hbm_shared_no_prefetch,Compute E2E (whole loop),2.183,
1024,1,0.2,gh_hbm_shared_no_prefetch,Full    E2E,2.183,
1024,1,0.2,gh_hbm_shared_no_prefetch,CPU read time,0.786,
1024,1,0.2,gh_cpu_shared,WARMUP GPU Kernel (first iter),0.151,
1024,1,0.2,gh_cpu_shared,WARMUP CPU compute (first iter),0.297,
1024,1,0.2,gh_cpu_shared,WARMUP total time,0.763,
1024,1,0.2,gh_cpu_shared,Pre Kernel Costs,0.0,
1024,1,0.2,gh_cpu_shared,GPU Kernel avg,0.047,
1024,1,0.2,gh_cpu_shared,CPU compute,0.304,
1024,1,0.2,gh_cpu_shared,GPU Kernel total,0.047,
1024,1,0.2,gh_cpu_shared,CPU compute total,0.304,
1024,1,0.2,gh_cpu_shared,Compute E2E (avg per-iter),0.351,
1024,1,0.2,gh_cpu_shared,Compute E2E (whole loop),1.773,
1024,1,0.2,gh_cpu_shared,Full    E2E,1.773,
1024,1,0.2,gh_cpu_shared,CPU read time,0.655,
1024,1,0.2,gh_hmm_pageable,WARMUP GPU Kernel (first iter),0.133,
1024,1,0.2,gh_hmm_pageable,WARMUP CPU compute (first iter),0.287,
1024,1,0.2,gh_hmm_pageable,WARMUP total time,123.113,
1024,1,0.2,gh_hmm_pageable,Pre Kernel Costs,0.0,
1024,1,0.2,gh_hmm_pageable,GPU Kernel avg,0.008,
1024,1,0.2,gh_hmm_pageable,CPU compute,0.693,
1024,1,0.2,gh_hmm_pageable,GPU Kernel total,0.008,
1024,1,0.2,gh_hmm_pageable,CPU compute total,0.693,
1024,1,0.2,gh_hmm_pageable,Compute E2E (avg per-iter),0.737,
