STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%%    Threads  Total(ms)    Cold(ms)     Warm(ms)     Read(ms)     UMback(ms)
um_migrate_no_prefetch 2048     1     5       15     64       9.965        9.965        --           4.097        --        
um_migrate_no_prefetch 2048     1     5       20     1        8.939        8.939        --           3.991        --        
um_migrate_no_prefetch 2048     1     5       20     2        8.939        8.939        --           4.084        --        
um_migrate_no_prefetch 2048     1     5       20     4        9.026        9.026        --           4.055        --        
um_migrate_no_prefetch 2048     1     5       20     8        8.717        8.717        --           4.073        --        
um_migrate_no_prefetch 2048     1     5       20     16       8.556        8.556        --           4.069        --        
um_migrate_no_prefetch 2048     1     5       20     32       8.207        8.207        --           4.054        --        
um_migrate_no_prefetch 2048     1     5       20     64       8.906        8.906        --           4.044        --        
um_migrate_no_prefetch 2048     1     5       25     1        8.519        8.519        --           3.948        --        
um_migrate_no_prefetch 2048     1     5       25     2        8.304        8.304        --           3.951        --        
um_migrate_no_prefetch 2048     1     5       25     4        8.482        8.482        --           3.934        --        
um_migrate_no_prefetch 2048     1     5       25     8        8.372        8.372        --           3.937        --        
um_migrate_no_prefetch 2048     1     5       25     16       8.537        8.537        --           3.958        --        
um_migrate_no_prefetch 2048     1     5       25     32       8.463        8.463        --           3.936        --        
um_migrate_no_prefetch 2048     1     5       25     64       8.647        8.647        --           3.950        --        
um_migrate_no_prefetch 2048     1     5       30     1        8.043        8.043        --           3.863        --        
um_migrate_no_prefetch 2048     1     5       30     2        8.514        8.514        --           3.824        --        
um_migrate_no_prefetch 2048     1     5       30     4        8.002        8.002        --           3.863        --        
um_migrate_no_prefetch 2048     1     5       30     8        8.233        8.233        --           3.861        --        
um_migrate_no_prefetch 2048     1     5       30     16       8.133        8.133        --           3.864        --        
um_migrate_no_prefetch 2048     1     5       30     32       8.333        8.333        --           3.858        --        
um_migrate_no_prefetch 2048     1     5       30     64       8.178        8.178        --           3.848        --        
gh_hbm_shared_no_prefetch 2048     1     5       10     1        10.998       10.998       --           4.236        --        
gh_hbm_shared_no_prefetch 2048     1     5       10     2        10.144       10.144       --           4.203        --        
gh_hbm_shared_no_prefetch 2048     1     5       10     4        10.345       10.345       --           4.218        --        
gh_hbm_shared_no_prefetch 2048     1     5       10     8        10.097       10.097       --           4.201        --        
gh_hbm_shared_no_prefetch 2048     1     5       10     16       10.090       10.090       --           4.176        --        
gh_hbm_shared_no_prefetch 2048     1     5       10     32       10.534       10.534       --           4.215        --        
gh_hbm_shared_no_prefetch 2048     1     5       10     64       10.310       10.310       --           4.201        --        
gh_hbm_shared_no_prefetch 2048     1     5       15     1        9.356        9.356        --           4.102        --        
gh_hbm_shared_no_prefetch 2048     1     5       15     2        10.168       10.168       --           4.088        --        
gh_hbm_shared_no_prefetch 2048     1     5       15     4        9.553        9.553        --           4.108        --        
