section,N,iters,frac,mode,kernel_ms,bandwidth_GBps
HYBRID SWEEP,4096,5,0.5,gh_hbm_shared_no_prefetch,0.162,1660.98
HYBRID SWEEP,4096,5,0.5,gh_cpu_shared,3.292,81.54
HYBRID SWEEP,4096,5,0.5,gh_hmm_pageable,4.158,64.56
HYBRID SWEEP,4096,5,0.5,gh_hmm_pageable_cuda_init,0.179,1498.82
HYBRID SWEEP,4096,5,0.7,um_migrate,11.157,24.06
HYBRID SWEEP,4096,5,0.7,um_migrate_no_prefetch,10.165,26.41
HYBRID SWEEP,4096,5,0.7,gh_hbm_shared,0.111,2424.59
HYBRID SWEEP,4096,5,0.7,gh_hbm_shared_no_prefetch,0.112,2402.37
HYBRID SWEEP,4096,5,0.7,gh_cpu_shared,2.005,133.9
HYBRID SWEEP,4096,5,0.7,gh_hmm_pageable,2.066,129.94
HYBRID SWEEP,4096,5,0.7,gh_hmm_pageable_cuda_init,0.119,2258.04
HYBRID SWEEP,4096,5,0.8,um_migrate,13.197,20.34
HYBRID SWEEP,4096,5,0.8,um_migrate_no_prefetch,9.823,27.33
HYBRID SWEEP,4096,5,0.8,gh_hbm_shared,0.085,3166.47
HYBRID SWEEP,4096,5,0.8,gh_hbm_shared_no_prefetch,0.084,3179.91
HYBRID SWEEP,4096,5,0.8,gh_cpu_shared,1.331,201.74
HYBRID SWEEP,4096,5,0.8,gh_hmm_pageable,0.945,284.09
HYBRID SWEEP,4096,5,0.8,gh_hmm_pageable_cuda_init,0.087,3077.71
HYBRID SWEEP,4096,10,0.1,um_migrate,7.925,33.87
HYBRID SWEEP,4096,10,0.1,um_migrate_no_prefetch,7.345,36.55
HYBRID SWEEP,4096,10,0.1,gh_hbm_shared,0.253,1059.72
HYBRID SWEEP,4096,10,0.1,gh_hbm_shared_no_prefetch,0.255,1051.61
HYBRID SWEEP,4096,10,0.1,gh_cpu_shared,6.557,40.94
HYBRID SWEEP,4096,10,0.1,gh_hmm_pageable,6.336,42.37
HYBRID SWEEP,4096,10,0.1,gh_hmm_pageable_cuda_init,0.287,936.21
HYBRID SWEEP,4096,10,0.2,um_migrate,9.227,29.09
HYBRID SWEEP,4096,10,0.2,um_migrate_no_prefetch,10.479,25.62
HYBRID SWEEP,4096,10,0.2,gh_hbm_shared,0.232,1158.44
HYBRID SWEEP,4096,10,0.2,gh_hbm_shared_no_prefetch,0.229,1174.35
HYBRID SWEEP,4096,10,0.2,gh_cpu_shared,5.504,48.77
HYBRID SWEEP,4096,10,0.2,gh_hmm_pageable,5.351,50.17
HYBRID SWEEP,4096,10,0.2,gh_hmm_pageable_cuda_init,0.252,1065.18
HYBRID SWEEP,4096,10,0.3,um_migrate,8.388,32.0
HYBRID SWEEP,4096,10,0.3,um_migrate_no_prefetch,6.911,38.84
HYBRID SWEEP,4096,10,0.3,gh_hbm_shared,0.207,1295.62
HYBRID SWEEP,4096,10,0.3,gh_hbm_shared_no_prefetch,0.205,1307.63
HYBRID SWEEP,4096,10,0.3,gh_cpu_shared,4.85,55.35
HYBRID SWEEP,4096,10,0.3,gh_hmm_pageable,4.764,56.34
HYBRID SWEEP,4096,10,0.3,gh_hmm_pageable_cuda_init,0.233,1149.68
HYBRID SWEEP,4096,10,0.4,um_migrate,9.507,28.23
HYBRID SWEEP,4096,10,0.4,um_migrate_no_prefetch,7.939,33.81
HYBRID SWEEP,4096,10,0.4,gh_hbm_shared,0.186,1443.67
