STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
gh_hmm_pageable_gpu_init 1024     2     10      0      72       --         --           --         --           0.015      --         0.000      --           0.085         0.029         0.114        
gh_hmm_pageable_gpu_init 1024     2     10      10     72       --         --           --         --           0.018      --         0.024      --           1.612         0.116         1.728        
gh_hmm_pageable_gpu_init 1024     2     10      25     72       --         --           --         --           0.017      --         0.025      --           1.562         0.108         1.670        
gh_hmm_pageable_gpu_init 1024     2     10      30     72       --         --           --         --           0.018      --         0.522      --           2.420         0.606         3.026        
gh_hmm_pageable_gpu_init 1024     2     10      50     72       --         --           --         --           0.017      --         0.030      --           1.571         0.097         1.668        
gh_hmm_pageable_gpu_init 1024     2     10      70     72       --         --           --         --           0.016      --         0.031      --           1.546         0.089         1.635        
gh_hmm_pageable_gpu_init 1024     2     10      80     72       --         --           --         --           0.016      --         0.031      --           1.539         0.084         1.623        
um_migrate_no_prefetch 1024     2     10      0      72       --         --           --         --           0.014      --         0.000      --           3.305         0.029         3.334        
um_migrate_no_prefetch 1024     2     10      10     72       --         --           --         --           3.756      --         0.307      --           13.044        5.590         18.634       
um_migrate_no_prefetch 1024     2     10      25     72       --         --           --         --           3.394      --         0.365      --           11.621        4.946         16.567       
um_migrate_no_prefetch 1024     2     10      30     72       --         --           --         --           3.358      --         0.473      --           10.371        4.906         15.277       
um_migrate_no_prefetch 1024     2     10      50     72       --         --           --         --           2.410      --         0.323      --           9.836         3.707         13.543       
um_migrate_no_prefetch 1024     2     10      70     72       --         --           --         --           1.114      --         0.242      --           6.625         1.756         8.381        
um_migrate_no_prefetch 1024     2     10      80     72       --         --           --         --           0.312      --         0.176      --           6.094         0.607         6.701        
gh_hbm_shared_no_prefetch 1024     2     10      0      72       --         --           --         --           0.014      --         0.000      --           0.502         0.028         0.530        
gh_hbm_shared_no_prefetch 1024     2     10      10     72       --         --           --         --           0.016      --         0.023      --           1.838         0.185         2.023        
gh_hbm_shared_no_prefetch 1024     2     10      25     72       --         --           --         --           0.016      --         0.027      --           1.949         0.172         2.121        
gh_hbm_shared_no_prefetch 1024     2     10      30     72       --         --           --         --           0.018      --         0.026      --           1.769         0.165         1.934        
gh_hbm_shared_no_prefetch 1024     2     10      50     72       --         --           --         --           0.016      --         0.099      --           2.494         0.215         2.709        
gh_hbm_shared_no_prefetch 1024     2     10      70     72       --         --           --         --           0.018      --         0.030      --           1.617         0.126         1.743        
gh_hbm_shared_no_prefetch 1024     2     10      80     72       --         --           --         --           0.016      --         0.031      --           1.650         0.116         1.766        
----------------------------------------------------------------------------------------------------------------
explicit               2048     1     10      0      72       0.196      --           0.158      --           0.026      --         0.000      --           0.156         0.034         0.543        
explicit               2048     1     10      10     72       0.201      --           0.121      --           0.025      --         0.046      --           1.953         0.280         3.661        
explicit               2048     1     10      25     72       0.195      --           0.120      --           0.022      --         0.056      --           2.107         0.307         3.671        
explicit               2048     1     10      30     72       0.205      --           0.121      --           0.022      --         0.056      --           2.062         0.311         3.587        
explicit               2048     1     10      50     72       0.202      --           0.121      --           0.018      --         0.074      --           2.153         0.344         3.473        
explicit               2048     1     10      70     72       0.205      --           0.122      --           0.016      --         0.120      --           2.199         0.404         3.349        
explicit               2048     1     10      80     72       0.196      --           0.122      --           0.016      --         0.124      --           2.246         0.419         3.285        
um_migrate             2048     1     10      0      72       --         5.467        --         0.355        0.027      --         0.000      --           0.170         0.034         6.026        
um_migrate             2048     1     10      10     72       --         5.450        --         0.330        6.471      --         0.280      --           20.100        9.648         35.528       
um_migrate             2048     1     10      25     72       --         5.445        --         0.307        5.172      --         0.267      --           16.996        7.872         30.620       
um_migrate             2048     1     10      30     72       --         5.479        --         0.295        5.285      --         0.206      --           16.948        7.811         30.533       
um_migrate             2048     1     10      50     72       --         5.467        --         0.252        3.681      --         0.266      --           12.899        5.566         24.185       
um_migrate             2048     1     10      70     72       --         5.468        --         0.151        2.193      --         0.246      --           9.299         3.411         18.329       
um_migrate             2048     1     10      80     72       --         5.409        --         0.160        1.928      --         0.271      --           8.915         2.742         17.226       
gh_hbm_shared          2048     1     10      0      72       --         0.304        --         --           0.027      --         0.000      --           0.192         0.034         0.530        
gh_hbm_shared          2048     1     10      10     72       --         0.315        --         --           0.025      --         0.045      --           1.744         0.213         2.272        
gh_hbm_shared          2048     1     10      25     72       --         0.314        --         --           0.023      --         0.049      --           1.741         0.197         2.252        
gh_hbm_shared          2048     1     10      30     72       --         0.317        --         --           0.021      --         0.052      --           1.869         0.193         2.379        
gh_hbm_shared          2048     1     10      50     72       --         0.341        --         --           0.017      --         0.064      --           1.899         0.183         2.423        
gh_hbm_shared          2048     1     10      70     72       --         0.351        --         --           0.017      --         0.049      --           1.719         0.144         2.214        
gh_hbm_shared          2048     1     10      80     72       --         0.316        --         --           0.017      --         0.036      --           1.754         0.121         2.191        
gh_cpu_shared          2048     1     10      0      72       --         --           --         --           0.232      --         0.000      --           0.719         0.240         0.959        
gh_cpu_shared          2048     1     10      10     72       --         --           --         --           0.217      --         0.193      --           1.870         0.318         2.188        
gh_cpu_shared          2048     1     10      25     72       --         --           --         --           0.186      --         0.186      --           1.787         0.281         2.068        
gh_cpu_shared          2048     1     10      30     72       --         --           --         --           0.173      --         0.200      --           1.803         0.290         2.093        
gh_cpu_shared          2048     1     10      50     72       --         --           --         --           0.134      --         0.222      --           1.842         0.302         2.144        
