STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     End2End(ms)   FullE2E(ms)  
gh_cpu_shared          2048     1     10      30     72       --         --           --         --           0.181      --         0.212      --           0.297         2.189        
gh_cpu_shared          2048     1     10      50     72       --         --           --         --           0.136      --         0.204      --           0.299         2.216        
gh_cpu_shared          2048     1     10      70     72       --         --           --         --           0.088      --         0.201      --           0.282         1.993        
gh_cpu_shared          2048     1     10      80     72       --         --           --         --           0.062      --         0.042      --           0.126         1.820        
gh_hmm_pageable        2048     1     10      0      72       --         --           --         --           0.028      --         0.000      --           0.036         139.525      
gh_hmm_pageable        2048     1     10      10     72       --         --           --         --           0.028      --         0.057      --           0.153         137.715      
gh_hmm_pageable        2048     1     10      25     72       --         --           --         --           0.024      --         0.045      --           0.126         134.923      
gh_hmm_pageable        2048     1     10      30     72       --         --           --         --           0.022      --         0.020      --           0.100         139.640      
gh_hmm_pageable        2048     1     10      50     72       --         --           --         --           0.020      --         0.024      --           0.091         137.301      
gh_hmm_pageable        2048     1     10      70     72       --         --           --         --           0.017      --         0.030      --           0.084         129.898      
gh_hmm_pageable        2048     1     10      80     72       --         --           --         --           0.017      --         0.040      --           0.088         133.418      
gh_hmm_pageable_gpu_init 2048     1     10      0      72       --         --           --         --           0.026      --         0.000      --           0.034         0.138        
gh_hmm_pageable_gpu_init 2048     1     10      10     72       --         --           --         --           0.027      --         0.077      --           0.168         1.846        
gh_hmm_pageable_gpu_init 2048     1     10      25     72       --         --           --         --           0.025      --         0.035      --           0.117         1.715        
gh_hmm_pageable_gpu_init 2048     1     10      30     72       --         --           --         --           0.024      --         0.043      --           0.119         1.786        
gh_hmm_pageable_gpu_init 2048     1     10      50     72       --         --           --         --           0.020      --         0.065      --           0.131         1.789        
gh_hmm_pageable_gpu_init 2048     1     10      70     72       --         --           --         --           0.019      --         0.064      --           0.118         1.790        
gh_hmm_pageable_gpu_init 2048     1     10      80     72       --         --           --         --           0.018      --         0.057      --           0.105         1.796        
um_migrate_no_prefetch 2048     1     10      0      72       --         --           --         --           0.027      --         0.000      --           0.034         13.098       
um_migrate_no_prefetch 2048     1     10      10     72       --         --           --         --           6.781      --         0.279      --           10.002        31.377       
um_migrate_no_prefetch 2048     1     10      25     72       --         --           --         --           5.085      --         0.289      --           7.811         25.093       
um_migrate_no_prefetch 2048     1     10      30     72       --         --           --         --           5.475      --         0.232      --           7.995         25.455       
um_migrate_no_prefetch 2048     1     10      50     72       --         --           --         --           3.833      --         0.266      --           5.737         17.389       
um_migrate_no_prefetch 2048     1     10      70     72       --         --           --         --           2.286      --         0.272      --           3.478         11.027       
um_migrate_no_prefetch 2048     1     10      80     72       --         --           --         --           1.902      --         0.242      --           2.718         9.247        
gh_hbm_shared_no_prefetch 2048     1     10      0      72       --         --           --         --           0.026      --         0.000      --           0.033         0.959        
gh_hbm_shared_no_prefetch 2048     1     10      10     72       --         --           --         --           0.026      --         0.045      --           0.215         2.124        
gh_hbm_shared_no_prefetch 2048     1     10      25     72       --         --           --         --           0.023      --         0.051      --           0.195         1.982        
gh_hbm_shared_no_prefetch 2048     1     10      30     72       --         --           --         --           0.021      --         0.071      --           0.214         2.027        
gh_hbm_shared_no_prefetch 2048     1     10      50     72       --         --           --         --           0.017      --         0.054      --           0.172         2.061        
gh_hbm_shared_no_prefetch 2048     1     10      70     72       --         --           --         --           0.017      --         0.049      --           0.145         1.928        
