STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
gh_hbm_shared          2048     2     10      50     72       --         0.308        --         --           0.033      --         0.099      --           2.052         0.332         2.692        
gh_hbm_shared          2048     2     10      70     72       --         0.344        --         --           0.032      --         0.090      --           2.039         0.284         2.666        
gh_hbm_shared          2048     2     10      80     72       --         0.336        --         --           0.032      --         0.068      --           1.974         0.232         2.542        
gh_cpu_shared          2048     2     10      0      72       --         --           --         --           0.501      --         0.000      --           1.258         0.516         1.774        
gh_cpu_shared          2048     2     10      10     72       --         --           --         --           0.455      --         0.369      --           2.622         0.641         3.263        
gh_cpu_shared          2048     2     10      25     72       --         --           --         --           0.383      --         0.376      --           2.366         0.590         2.956        
gh_cpu_shared          2048     2     10      30     72       --         --           --         --           0.355      --         0.386      --           2.369         0.563         2.932        
gh_cpu_shared          2048     2     10      50     72       --         --           --         --           0.270      --         0.450      --           2.463         0.619         3.082        
gh_cpu_shared          2048     2     10      70     72       --         --           --         --           0.160      --         0.091      --           1.973         0.293         2.266        
gh_cpu_shared          2048     2     10      80     72       --         --           --         --           0.120      --         0.074      --           1.873         0.247         2.120        
gh_hmm_pageable        2048     2     10      0      72       --         --           --         --           0.054      --         0.000      --           142.671       0.069         142.740      
gh_hmm_pageable        2048     2     10      10     72       --         --           --         --           0.052      --         0.050      --           148.972       0.252         149.224      
gh_hmm_pageable        2048     2     10      25     72       --         --           --         --           0.046      --         0.038      --           137.877       0.206         138.083      
gh_hmm_pageable        2048     2     10      30     72       --         --           --         --           0.043      --         0.041      --           144.916       0.193         145.109      
gh_hmm_pageable        2048     2     10      50     72       --         --           --         --           0.039      --         0.052      --           137.975       0.179         138.154      
gh_hmm_pageable        2048     2     10      70     72       --         --           --         --           0.033      --         0.054      --           144.259       0.159         144.418      
