section,N,iters,frac,mode,kernel_ms,bandwidth_GBps
HYBRID SWEEP,8192,10,0.1,gh_hmm_pageable_cuda_init,1.086,988.62
HYBRID SWEEP,8192,10,0.2,um_migrate,28.552,37.61
HYBRID SWEEP,8192,10,0.2,um_migrate_no_prefetch,25.846,41.54
HYBRID SWEEP,8192,10,0.2,gh_hbm_shared,28.083,38.23
HYBRID SWEEP,8192,10,0.2,gh_hbm_shared_no_prefetch,26.37,40.72
HYBRID SWEEP,8192,10,0.2,gh_cpu_shared,23.318,46.05
HYBRID SWEEP,8192,10,0.2,gh_hmm_pageable,23.743,45.22
HYBRID SWEEP,8192,10,0.2,gh_hmm_pageable_cuda_init,0.97,1106.6
HYBRID SWEEP,8192,10,0.3,um_migrate,27.73,38.72
HYBRID SWEEP,8192,10,0.3,um_migrate_no_prefetch,25.541,42.04
HYBRID SWEEP,8192,10,0.3,gh_hbm_shared,27.701,38.76
HYBRID SWEEP,8192,10,0.3,gh_hbm_shared_no_prefetch,24.719,43.44
HYBRID SWEEP,8192,10,0.3,gh_cpu_shared,20.321,52.84
HYBRID SWEEP,8192,10,0.3,gh_hmm_pageable,20.206,53.14
HYBRID SWEEP,8192,10,0.3,gh_hmm_pageable_cuda_init,0.854,1257.24
HYBRID SWEEP,8192,10,0.4,um_migrate,26.216,40.96
HYBRID SWEEP,8192,10,0.4,um_migrate_no_prefetch,25.755,41.69
HYBRID SWEEP,8192,10,0.4,gh_hbm_shared,26.863,39.97
HYBRID SWEEP,8192,10,0.4,gh_hbm_shared_no_prefetch,25.141,42.71
HYBRID SWEEP,8192,10,0.4,gh_cpu_shared,17.856,60.13
HYBRID SWEEP,8192,10,0.4,gh_hmm_pageable,17.322,61.99
HYBRID SWEEP,8192,10,0.4,gh_hmm_pageable_cuda_init,0.731,1469.69
HYBRID SWEEP,8192,10,0.5,um_migrate,23.227,46.23
HYBRID SWEEP,8192,10,0.5,um_migrate_no_prefetch,23.509,45.67
HYBRID SWEEP,8192,10,0.5,gh_hbm_shared,23.691,45.32
HYBRID SWEEP,8192,10,0.5,gh_hbm_shared_no_prefetch,23.699,45.31
HYBRID SWEEP,8192,10,0.5,gh_cpu_shared,15.061,71.29
HYBRID SWEEP,8192,10,0.5,gh_hmm_pageable,18.072,59.41
HYBRID SWEEP,8192,10,0.5,gh_hmm_pageable_cuda_init,0.624,1721.03
HYBRID SWEEP,8192,10,0.7,um_migrate,26.162,41.04
HYBRID SWEEP,8192,10,0.7,um_migrate_no_prefetch,26.965,39.82
HYBRID SWEEP,8192,10,0.7,gh_hbm_shared,26.66,40.27
HYBRID SWEEP,8192,10,0.7,gh_hbm_shared_no_prefetch,27.014,39.75
HYBRID SWEEP,8192,10,0.7,gh_cpu_shared,8.896,120.7
HYBRID SWEEP,8192,10,0.7,gh_hmm_pageable,0.964,1114.26
HYBRID SWEEP,8192,10,0.7,gh_hmm_pageable_cuda_init,0.387,2776.1
HYBRID SWEEP,8192,10,0.8,um_migrate,27.305,39.32
HYBRID SWEEP,8192,10,0.8,um_migrate_no_prefetch,27.496,39.05
HYBRID SWEEP,8192,10,0.8,gh_hbm_shared,27.208,39.46
HYBRID SWEEP,8192,10,0.8,gh_hbm_shared_no_prefetch,27.883,38.51
HYBRID SWEEP,8192,10,0.8,gh_cpu_shared,5.736,187.18
HYBRID SWEEP,8192,10,0.8,gh_hmm_pageable,0.76,1412.27
HYBRID SWEEP,8192,10,0.8,gh_hmm_pageable_cuda_init,0.276,3895.52
